pincode,LAT ,Long
125005,29.1396111,75.7398056
125006,29.1123472,75.8183777
125007,29.1594444,75.5712778
125011,29.2275278,75.6669167
125033,29.1025278,75.9736667
125037,28.9448611,75.8261241
125038,29.1898901,76.2245833
125039,29.2246111,76.1387501
125042,29.1086944,75.5512778
125044,29.1288333,75.7844722
125047,29.4165833,75.6266667
125048,29.4165833,75.5486667
125049,29.1594444,75.5701277
125050,29.6623333,75.44625
125051,29.6853056,75.5762778
125052,28.2817778,75.4726389
125053,29.3905278,75.3460833
125054,29.5461389,75.2148333
125055,29.5347778,75.0320833
125056,29.5347778,75.0320833
125058,29.4503056,75.1193333
125060,29.5457222,75.1141111
125061,29.656246,75.421987
125075,29.5275278,74.7394722
125076,29.5235833,74.8406389
125077,29.7654167,74.8992778
125078,29.6993611,75.0066389
125101,29.7802222,74.5243056
125102,29.4490833,74.6628611
125103,29.78325,74.7477222
125104,29.9591389,74.6981111
125106,29.6745556,75.7301111
125110,29.3710278,75.1261389
125111,29.2100833,75.7090278
125112,29.5743333,75.7863055
125113,29.5065833,76.3382222
125120,29.7220861,75.9025277
125121,29.368676,75.905203
125133,29.8089722,75.82325
125201,29.82675,74.9754167
126101,33.3,25.3
126102,36.32,23.36
126110,33.3,25.3
126111,36.32,25.36
126112,39.93,36.32
126113,29.45,30.14
126114,29.5902777,76.1099166
126115,30.16,30.16
126116,33.36,22.36
126125,33.3,25.3
126152,100,100
127021,28.7752,75.9928
127022,28.4614,76.2609
127025,28.7784,76.3418
127026,28.65961,76.06885
127027,28.8837,76.2392
127028,28.6296,75.6179
127029,28.6995,75.8708
127030,28.6358,75.9434
127031,28.862,76.1407
127032,28.9449,76.0334
127035,28.9639,75.9565
127040,28.8725,75.9144
127041,28.9734,76.1958
127042,28.7129,76.2911
127043,28.7218,75.7664
127045,28.9648,75.6063
127046,28.919221,75.664839
127111,28.8199,76.0653
127114,28.828,76.3087
127201,28.4267,75.804
127306,28.5921,76.2653
127307,28.6745,76.3707
127308,28.5094,75.9376
127309,28.7084,76.22
127310,28.5216,76.1508
127311,28.7158,76.1414
127312,28.5074,76.0695
131001,29.01,76.96
131021,28.9761,77.1
131022,28.9926944,77.0179722
131023,29.65,76.43
131024,29.65,76.43
131027,29.0409444,77.0894167
131028,29.05,76.91
131029,28.98,77.1
131030,28.4391,77.3009
131039,29.3774722,76.9675556
131101,29.2062222,77.234
131102,29.1101389,76.9445278
131103,29.12,77.01
131301,29.1388056,76.6893333
131302,29.1870556,76.6254722
131304,29.1411111,76.6120556
131305,29.2,76.61
131306,29.2035278,76.7541944
131402,28.8798056,76.9114167
131403,29.1,76.94
131408,28.9831944,76.8135556
131409,29.44,77
132001,29.713894,76.990547
132022,29.7176111,77.0783056
132023,29.7265278,77.0590556
132024,37,37
132035,29.57512,76.77929
132036,32.5,35.2
132037,29.86544,76.9787
132039,100,100
132040,100,100
132041,29.89,29.99
132046,29.5286111,75.9966111
132054,100,100
132101,38.63,33.68
132102,33.66,33.99
132103,29.5902777,76.1099166
132104,36.36,25.25
132105,33.8,33.2
132106,36.87,25.85
132107,29.5902777,76.1099166
132108,29.3473056,76.9805
132113,29.5902777,76.1099166
132114,36.36,32.35
132115,29.5902777,76.1099166
132116,29.8004444,76.9351944
132117,29.8383333,76.9329722
132122,29.5902777,76.1099166
132140,29.4886111,76.8806667
132145,32.5,32.5
132157,29.3959722,76.9606388
133001,30.4943333,76.8345
133004,30.355654,76.774473
133005,30.3781868,76.7766894
133006,30.3325556,76.8798333
133008,30.378179,76.776697
133010,30.378184,76.776691
133101,30.38425,76.7716667
133102,30.378745,76.955664
133103,30.530148,77.011825
133104,30.3781868,76.7766894
133201,30.242696,77.058567
133202,30.28859,77.12767
133203,30.378184,76.7766914
133204,30.3822222,77.2177778
133205,30.3781848,76.7766914
133206,30.3486111,77.1918611
133207,30.2674976,77.0222963
133301,30.7742777,76.8948333
133302,30.8344444,76.9382222
134003,30.42225,76.7698889
134005,30.38425,76.7716667
134007,30.943859,75.872551
134008,32.134639,75.689161
134101,30.7827222,76.9102778
134102,30.81235,77.00608
134103,30.6343333,76.91525
134104,30.7826389,76.9247222
134105,30.38425,76.7716667
134107,30.7238333,76.8759167
134108,30.7064167,76.8727778
134109,30.7457402,76.8468634
134112,30.7486944,76.85475
134113,30.6852778,76.8392222
134114,30.7212222,76.8525833
134116,30.565659,76.937756
134117,30.6691944,76.8578611
134118,31.31155,74.84805
134201,30.497121,76.927756
134202,30.451691,77.033418
134203,30.6942171,76.860557
134204,30.694219,76.860555
134205,30.7,77.0833333
134999,30.685191,76.8402533
135001,77.26175,30.1213889
135002,30.3781888,76.7766874
135003,30.4794355,77.2261362
135004,30.3781868,76.7766894
135021,77.4979167,30.2894444
135101,30.378187,76.7766884
135102,30.378,76.776
135103,30.371636,77.455855
135106,30.58179,77.11375
135133,30.125284,77.162385
136020,29.875369,76.606611
136021,29.8463889,76.6630278
136026,29.762047,76.559555
136027,29.8154042,76.2088
136030,29.9361944,76.551
136033,29.799859,76.4173
136034,29.799859,76.4173
136035,30.0383333,76.2984167
136038,29.5702778,76.8703056
136042,29.802463,76.560383
136043,29.670538,76.5168
136044,29.57595,76.484933
136117,29.674897,76.256273
136118,29.973217,76.830346
136119,29.955549,76.812926
136128,29.981417,76.589277
136129,30.115686,76.666405
136130,29.973217,76.830346
136131,29.973217,76.830346
136132,29.998094,77.033418
136134,29.9695,76.8782
136135,29.973217,76.830346
136136,30.166519,76.709604
136156,30.084325,76.987348
140001,30.9812222,76.5196667
140101,30.7915556,76.5016944
140102,30.9666111,76.3715277
140103,30.9666111,76.3715277
140108,30.91725,76.5710556
140109,30.9666111,76.3715277
140110,30.8445,76.6624166
140111,30.99083,76.38571
140112,32.054937,75.4541
140113,31.0261389,76.5883889
140114,31.0990278,76.6091944
140115,31.1848333,76.5674722
140116,31.2106111,76.5552778
140117,31.1681944,76.4781667
140118,31.23625,76.4968611
140119,31.1275073,76.5126424
140123,31.2709167,76.4869722
140124,31.3945,76.3719167
140125,31.35825,76.3816944
140126,31.3818889,76.3603611
140127,30.9666111,76.3715277
140128,30.9666111,76.3715277
140133,31.2993889,76.4225
140201,30.692051,76.69841
140301,30.9666111,76.3715277
140306,30.9666111,76.69841
140307,30.9666111,76.3715277
140308,30.692051,76.69841
140401,30.486038,76.592572
140402,30.54,76.59
140405,30.61,76.31
140406,30.66,76.39
140407,30.648067,76.392631
140408,30.69,76.71
140412,31.15,76.94
140413,30.9666111,76.3715277
140417,30.5,76.66
140501,30.7420833,76.69841
140506,30.692051,76.69841
140507,30.692051,76.69841
140601,30.64,76.88
140602,30.79,76.89
140603,30.692051,76.69841
140604,30.6703333,76.8320556
140701,30.48,76.54
140702,30.36,76.36
140802,30.83,76.37
140901,30.9666111,76.69841
141001,30.9216444,75.8161611
141002,30.8949722,75.8413611
141003,30.8946667,75.8503611
141004,30.9023889,75.8146944
